日期,備轉容量(萬瓩),備轉容量率(%)
2020/01/01,279.0,11.01
2020/01/02,308.0,10.91
2020/01/03,338.3,11.96
2020/01/04,363.6,14.21
2020/01/05,269.5,10.88
2020/01/06,301.0,10.51
2020/01/07,310.4,10.65
2020/01/08,323.5,11.33
2020/01/09,313.1,10.90
2020/01/10,329.8,11.58
2020/01/11,385.1,15.20
2020/01/12,309.1,12.44
2020/01/13,315.7,11.02
2020/01/14,341.2,11.85
2020/01/15,338.6,11.91
2020/01/16,300.5,10.47
2020/01/17,339.9,12.06
2020/01/18,315.9,12.12
2020/01/19,333.5,13.17
2020/01/20,318.3,11.38
2020/01/21,325.9,11.84
2020/01/22,388.6,15.09
2020/01/23,334.4,14.21
2020/01/24,348.3,16.17
2020/01/25,355.1,16.89
2020/01/26,352.8,16.66
2020/01/27,370.4,17.06
2020/01/28,365.3,16.01
2020/01/29,330.3,13.77
2020/01/30,299.1,11.36
2020/01/31,336.1,12.58
2020/02/01,389.0,15.43
2020/02/02,324.7,13.08
2020/02/03,408.8,14.62
2020/02/04,330.2,11.61
2020/02/05,364.3,12.83
2020/02/06,334.7,11.75
2020/02/07,376.7,13.32
2020/02/08,366.0,14.28
2020/02/09,308.4,12.26
2020/02/10,314.6,11.12
2020/02/11,321.9,11.23
2020/02/12,334.8,11.73
2020/02/13,324.6,11.16
2020/02/14,312.3,10.70
2020/02/15,299.6,10.79
2020/02/16,398.5,15.90
2020/02/17,374.4,13.23
2020/02/18,424.9,14.95
2020/02/19,356.4,12.56
2020/02/20,313.1,10.94
2020/02/21,313.8,11.00
2020/02/22,367.4,14.11
2020/02/23,374.0,14.92
2020/02/24,301.0,10.44
2020/02/25,312.4,10.70
2020/02/26,316.7,10.75
2020/02/27,425.3,14.99
2020/02/28,328.6,12.47
2020/02/29,280.6,10.93
2020/03/01,332.0,13.29
2020/03/02,329.5,11.54
2020/03/03,310.6,10.64
2020/03/04,375.8,13.02
2020/03/05,351.8,12.30
2020/03/06,317.9,11.13
2020/03/07,371.2,14.18
2020/03/08,337.9,13.22
2020/03/09,320.8,10.82
2020/03/10,394.1,13.79
2020/03/11,325.5,11.41
2020/03/12,300.2,10.23
2020/03/13,309.8,10.62
2020/03/14,382.6,14.83
2020/03/15,349.3,14.06
2020/03/16,482.0,17.22
2020/03/17,414.3,14.41
2020/03/18,415.3,14.26
2020/03/19,308.5,10.50
2020/03/20,370.0,12.75
2020/03/21,302.0,11.34
2020/03/22,308.6,11.83
2020/03/23,377.1,12.84
2020/03/24,412.5,14.00
2020/03/25,357.7,11.91
2020/03/26,318.7,10.33
2020/03/27,326.4,10.44
2020/03/28,406.6,15.70
2020/03/29,348.9,13.87
2020/03/30,350.8,12.22
2020/03/31,332.2,11.39
2020/04/01,409.5,14.48
2020/04/02,410.8,16.15
2020/04/03,374.9,14.92
2020/04/04,441.4,18.21
2020/04/05,424.9,17.45
2020/04/06,405.4,14.35
2020/04/07,403.7,14.36
2020/04/08,336.4,11.91
2020/04/09,367.8,13.00
2020/04/10,465.0,16.33
2020/04/11,317.9,12.34
2020/04/12,280.9,11.42
2020/04/13,332.8,12.05
2020/04/14,356.3,12.78
2020/04/15,349.7,12.41
2020/04/16,314.4,11.02
2020/04/17,360.9,12.45
2020/04/18,348.9,13.09
2020/04/19,302.8,11.42
2020/04/20,409.1,13.64
2020/04/21,437.6,14.59
2020/04/22,403.1,14.10
2020/04/23,394.8,14.07
2020/04/24,394.8,14.26
2020/04/25,316.6,12.34
2020/04/26,312.0,12.43
2020/04/27,381.0,13.27
2020/04/28,468.7,16.19
2020/04/29,334.6,11.33
2020/04/30,486.4,16.43
2020/05/01,351.2,13.11
2020/05/02,341.4,12.90
2020/05/03,296.7,11.06
2020/05/04,347.6,10.75
2020/05/05,340.0,10.20
2020/05/06,342.6,10.39
2020/05/07,373.6,11.49
2020/05/08,341.4,10.10
2020/05/09,382.3,12.87
2020/05/10,301.5,10.25
2020/05/11,335.0,10.09
2020/05/12,376.6,11.78
2020/05/13,419.9,13.01
2020/05/14,338.2,10.11
2020/05/15,362.2,10.72
2020/05/16,394.7,13.14
2020/05/17,424.1,14.78
2020/05/18,408.5,12.45
2020/05/19,462.6,14.76
2020/05/20,495.1,15.71
2020/05/21,398.3,12.62
2020/05/22,367.5,11.90
2020/05/23,406.1,15.10
2020/05/24,428.9,15.94
2020/05/25,394.2,12.15
2020/05/26,356.3,10.83
2020/05/27,493.2,15.69
2020/05/28,526.1,16.69
2020/05/29,409.8,12.59
2020/05/30,418.6,14.68
2020/05/31,343.0,11.92
2020/06/01,363.3,10.79
2020/06/02,407.1,11.84
2020/06/03,416.3,12.07
2020/06/04,375.4,10.75
2020/06/05,368.3,10.56
2020/06/06,424.0,13.79
2020/06/07,453.5,16.13
2020/06/08,458.0,14.15
2020/06/09,451.5,13.95
2020/06/10,436.7,12.93
2020/06/11,398.6,11.65
2020/06/12,358.6,10.24
2020/06/13,376.4,11.93
2020/06/14,457.2,15.33
2020/06/15,503.3,14.34
2020/06/16,402.2,11.27
2020/06/17,397.5,10.99
2020/06/18,419.1,11.65
2020/06/19,386.2,10.63
2020/06/20,367.5,10.41
2020/06/21,348.4,11.02
2020/06/22,384.9,10.51
2020/06/23,376.8,10.23
2020/06/24,408.6,10.99
2020/06/25,337.9,10.61
2020/06/26,390.7,12.87
2020/06/27,362.0,11.88
2020/06/28,341.2,10.97
2020/06/29,401.3,11.04
2020/06/30,464.7,12.67
2020/07/01,402.9,11.09
2020/07/02,445.8,12.44
2020/07/03,413.1,11.54
2020/07/04,428.7,13.43
2020/07/05,347.5,11.13
2020/07/06,501.6,13.98
2020/07/07,461.0,12.69
2020/07/08,431.5,11.63
2020/07/09,436.7,11.90
2020/07/10,437.9,11.89
2020/07/11,367.1,11.15
2020/07/12,351.8,10.92
2020/07/13,397.4,10.59
2020/07/14,392.4,10.38
2020/07/15,421.0,11.45
2020/07/16,508.5,14.16
2020/07/17,425.6,11.54
2020/07/18,432.1,13.02
2020/07/19,412.8,12.97
2020/07/20,426.9,11.38
2020/07/21,513.3,13.94
2020/07/22,426.6,11.42
2020/07/23,384.8,10.12
2020/07/24,412.9,10.99
2020/07/25,469.7,14.30
2020/07/26,471.8,15.44
2020/07/27,456.5,12.42
2020/07/28,453.1,12.47
2020/07/29,484.5,13.33
2020/07/30,546.0,15.34
2020/07/31,413.8,11.40
2020/08/01,412.1,12.61
2020/08/02,381.0,12.39
2020/08/03,489.8,14.53
2020/08/04,435.3,12.79
2020/08/05,438.7,12.40
2020/08/06,385.3,10.53
2020/08/07,386.0,10.52
2020/08/08,387.1,11.96
2020/08/09,318.7,10.23
2020/08/10,372.6,10.23
2020/08/11,438.4,12.47
2020/08/12,427.0,11.69
2020/08/13,465.1,12.81
2020/08/14,502.2,13.97
2020/08/15,494.1,15.83
2020/08/16,462.2,15.55
2020/08/17,458.5,12.90
2020/08/18,423.6,11.68
2020/08/19,386.9,10.46
2020/08/20,438.4,11.91
2020/08/21,386.2,10.49
2020/08/22,339.8,10.97
2020/08/23,329.7,10.90
2020/08/24,369.4,10.13
2020/08/25,381.2,10.28
2020/08/26,379.6,10.60
2020/08/27,454.5,12.95
2020/08/28,427.2,12.16
2020/08/29,417.4,13.40
2020/08/30,408.6,13.32
2020/08/31,471.9,13.41
2020/09/01,447.8,12.64
2020/09/02,386.9,10.60
2020/09/03,481.1,13.56
2020/09/04,487.0,13.54
2020/09/05,392.3,12.75
2020/09/06,387.3,13.87
2020/09/07,436.2,12.85
2020/09/08,415.5,11.83
2020/09/09,417.7,11.81
2020/09/10,425.5,12.01
2020/09/11,408.4,11.47
2020/09/12,338.3,10.80
2020/09/13,302.4,10.07
2020/09/14,371.8,10.43
2020/09/15,372.5,10.26
2020/09/16,373.3,10.22
2020/09/17,372.4,10.11
2020/09/18,372.9,10.11
2020/09/19,331.7,10.21
2020/09/20,388.5,13.16
2020/09/21,456.2,13.26
2020/09/22,512.5,14.97
2020/09/23,477.2,13.76
2020/09/24,543.4,16.21
2020/09/25,527.4,16.48
2020/09/26,454.7,14.62
2020/09/27,448.9,16.75
2020/09/28,455.5,14.64
2020/09/29,425.9,13.42
2020/09/30,528.5,17.20
2020/10/01,464.5,17.60
2020/10/02,346.0,12.78
2020/10/03,341.8,12.41
2020/10/04,359.2,12.70
2020/10/05,453.9,13.96
2020/10/06,423.9,13.29
2020/10/07,410.0,13.10
2020/10/08,471.8,15.31
2020/10/09,431.0,15.68
2020/10/10,329.5,12.03
2020/10/11,308.8,11.26
2020/10/12,336.1,10.17
2020/10/13,346.5,10.38
2020/10/14,399.2,12.17
2020/10/15,392.6,12.01
2020/10/16,380.1,11.56
2020/10/17,408.7,14.59
2020/10/18,394.6,14.85
2020/10/19,450.5,14.51
2020/10/20,424.4,13.42
2020/10/21,330.9,10.22
2020/10/22,434.1,13.91
2020/10/23,400.3,13.48
2020/10/24,389.2,14.53
2020/10/25,402.5,15.41
2020/10/26,350.3,11.27
2020/10/27,340.1,10.74
2020/10/28,347.0,10.86
2020/10/29,370.8,11.86
2020/10/30,421.5,13.93
2020/10/31,371.9,13.90
2020/11/01,356.9,13.66
2020/11/02,352.3,11.58
2020/11/03,318.9,10.64
2020/11/04,355.1,11.92
2020/11/05,331.9,10.94
2020/11/06,326.3,10.26
2020/11/07,319.9,11.34
2020/11/08,392.8,15.33
2020/11/09,408.0,13.89
2020/11/10,359.0,12.04
2020/11/11,370.8,12.52
2020/11/12,319.1,10.50
2020/11/13,337.3,11.17
2020/11/14,336.4,12.39
2020/11/15,346.3,13.27
2020/11/16,314.7,10.16
2020/11/17,320.2,10.20
2020/11/18,336.1,10.56
2020/11/19,331.4,10.33
2020/11/20,364.3,11.38
2020/11/21,292.8,10.21
2020/11/22,276.5,10.28
2020/11/23,314.5,10.20
2020/11/24,313.4,10.13
2020/11/25,330.6,10.50
2020/11/26,314.5,10.01
2020/11/27,349.5,11.58
2020/11/28,297.7,11.09
2020/11/29,328.7,13.02
